,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
715,2014,MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,8.8,6.2,7.6,37,175
386,2014,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,20.2,15.3,18.0,16,288
105,2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232
163,2014,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,25,262
581,2014,JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.4,8.7,10.2,28,235
411,2014,FORD,FUSION,MID-SIZE,2.0,4,AS6,X,10.5,7.1,9.0,31,207
127,2014,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260
878,2014,PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,M7,Z,12.6,8.6,10.8,26,248
784,2014,MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,A6,Z,9.4,7.9,8.7,32,200
709,2014,MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.0,4,M6,X,8.2,5.9,7.2,39,166
550,2014,JAGUAR,XF,MID-SIZE,2.0,4,AS8,Z,12.3,8.2,10.5,27,242
416,2014,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235
1051,2014,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,A6,Z,11.7,9.5,10.7,26,246
984,2014,TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6,AS6,X,13.0,9.7,11.5,25,264
472,2014,GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
31,2014,AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.5,8.6,11.3,25,260
391,2014,FORD,F150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.4,15.0,18.0,16,414
929,2014,SCION,FR-S,MINICOMPACT,2.0,4,AS6,Z,9.6,7.0,8.4,34,193
540,2014,INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS7,Z,13.6,9.6,11.8,24,271
780,2014,MINI,COOPER CLUBMAN,SUBCOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
683,2014,LINCOLN,MKZ,MID-SIZE,2.0,4,AS6,X,10.5,7.1,9.0,31,207
112,2014,BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356
967,2014,TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.3,7.6,9.6,29,221
132,2014,BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370
152,2014,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
437,2014,GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
1042,2014,VOLKSWAGEN,JETTA TURBO HYBRID,COMPACT,1.4,4,AM7,Z,5.6,5.2,5.4,52,124
790,2014,MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,A6,Z,8.7,6.6,7.8,36,179
592,2014,JEEP,PATRIOT,SUV - SMALL,2.4,4,M5,X,10.3,8.3,9.4,30,216
645,2014,LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,SUV - STANDARD,3.0,6,AS8,E,19.4,14.9,17.4,16,278
629,2014,KIA,SPORTAGE,SUV - SMALL,2.4,4,A6,X,11.4,8.3,10.0,28,230
261,2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
294,2014,DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,12.0,7.6,10.0,28,230
209,2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272
509,2014,HYUNDAI,SANTA FE 4WD,SUV - SMALL,3.3,6,A6,X,13.3,9.5,11.6,24,267
499,2014,HONDA,PILOT,SUV - SMALL,3.5,6,A5,X,13.3,9.3,11.5,25,265
1011,2014,TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6,AS6,X,12.9,9.4,11.3,25,260
376,2014,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,E,18.8,13.7,16.5,17,264
159,2014,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
570,2014,JEEP,CHEROKEE,SUV - SMALL,3.2,6,A9,X,12.3,8.3,10.5,27,242
652,2014,LAND ROVER,RANGE ROVER V8 5.0 SC,SUV - STANDARD,5.0,8,AS8,Z,18.0,12.2,15.4,18,354
97,2014,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237
93,2014,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
333,2014,FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
620,2014,KIA,SEDONA,MINIVAN,3.5,6,A6,X,13.7,9.9,12.0,24,276
279,2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225
477,2014,GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
186,2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,24,271
889,2014,PORSCHE,BOXSTER S,TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,239
1027,2014,VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,11.6,7.7,9.8,29,225
461,2014,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277
785,2014,MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
224,2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432
14,2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
170,2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260
623,2014,KIA,SORENTO 4WD,SUV - SMALL,2.4,4,A6,X,12.3,9.3,11.0,26,253
729,2014,MERCEDES-BENZ,C 350 COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.6,10.5,27,242
951,2014,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,AV,X,8.7,6.6,7.8,36,179
115,2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212
518,2014,HYUNDAI,TUCSON,SUV - SMALL,2.0,4,M6,X,11.4,8.6,10.1,28,232
692,2014,MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,17.6,10.7,14.5,19,334
1022,2014,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,M6,Z,10.8,7.6,9.4,30,216
19,2014,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202
107,2014,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
139,2014,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278
761,2014,MERCEDES-BENZ,GLK 350 4MATIC,SUV - SMALL,3.5,6,AS7,Z,12.6,9.6,11.3,25,260
236,2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235
549,2014,JAGUAR,F-TYPE V8 S CONVERTIBLE,TWO-SEATER,5.0,8,AS8,Z,15.0,10.2,12.8,22,294
660,2014,LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,7.7,7.4,7.6,37,175
355,2014,FORD,EDGE AWD,SUV - SMALL,3.7,6,AS6,X,13.7,10.4,12.2,23,281
661,2014,LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,15.7,11.8,13.9,20,320
370,2014,FORD,F150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6,10.6,12.8,22,294
1055,2014,VOLKSWAGEN,TOUAREG TDI CLEAN DIESEL,SUV - STANDARD,3.0,6,AS8,D,12.3,8.0,10.4,27,281
233,2014,CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
229,2014,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
668,2014,LEXUS,IS F,SUBCOMPACT,5.0,8,AS8,Z,14.6,10.1,12.6,22,290
440,2014,GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344
447,2014,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414
783,2014,MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
319,2014,DODGE,DART GT,MID-SIZE,2.4,4,A6,X,10.6,7.5,9.2,31,212
457,2014,GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
637,2014,LAND ROVER,LR4,SUV - STANDARD,3.0,6,AS8,Z,16.3,12.4,14.5,19,334
991,2014,TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4,AS6,X,10.4,8.1,9.4,30,216
706,2014,MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.3,6.1,7.3,39,168
881,2014,PORSCHE,911 GT3,TWO-SEATER,3.8,6,AM7,Z,16.0,11.5,14.0,20,322
718,2014,MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,11.5,8.5,10.2,28,235
59,2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267
713,2014,MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.4,9.7,29,223
428,2014,FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8,8.0,9.5,30,218
1062,2014,VOLVO,XC60 AWD,SUV - SMALL,3.0,6,AS6,X,13.4,9.8,11.8,24,271
947,2014,SUBARU,IMPREZA AWD,COMPACT,2.0,4,AV,X,8.7,6.6,7.8,36,179
116,2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
68,2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,15.4,9.8,12.9,22,297
468,2014,GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272
856,2014,NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,9.5,7.4,8.6,33,198
401,2014,FORD,FOCUS FFV,COMPACT,2.0,4,A6,X,8.8,6.4,7.7,37,177
443,2014,GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
371,2014,FORD,F150,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.3,12.9,15.9,18,366
399,2014,FORD,FLEX AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.8,10.4,12.8,22,294
1044,2014,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,M5,X,10.0,6.9,8.6,33,198
700,2014,MAZDA,CX-9 4WD,SUV - SMALL,3.7,6,AS6,X,14.3,10.6,12.6,22,290
456,2014,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270
562,2014,JAGUAR,XJR LWB,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
37,2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,27,242
763,2014,MERCEDES-BENZ,ML 350 4MATIC FFV,SUV - STANDARD,3.5,6,AS7,E,17.8,13.8,16.0,18,256
876,2014,PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,M7,Z,12.4,8.6,10.7,26,246
106,2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
712,2014,MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.0,4,M6,X,8.2,5.9,7.2,39,166
351,2014,FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,E,26.7,20.5,23.9,12,382
356,2014,FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4,7.4,9.1,31,209
323,2014,DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,10.8,14.4,20,331
638,2014,LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2.0,4,AS9,Z,11.3,7.9,9.8,29,225
251,2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8.0,35,184
969,2014,TOYOTA,CAMRY,MID-SIZE,3.5,6,AS6,X,11.1,7.8,9.6,29,221
546,2014,INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,17.4,12.1,15.0,19,345
739,2014,MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4,AS7,D,8.5,5.7,7.2,39,194
390,2014,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.4,16.9,19.9,14,318
55,2014,AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262
215,2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
338,2014,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
791,2014,MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,M6,Z,8.6,6.8,7.8,36,179
746,2014,MERCEDES-BENZ,E 400 HYBRID,MID-SIZE,3.5,6,AS7,Z,9.6,7.9,8.8,32,202
56,2014,AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
649,2014,LAND ROVER,RANGE ROVER V6 3.0 SC,SUV - STANDARD,3.0,6,AS8,Z,14.1,10.1,12.3,23,283
932,2014,SCION,tC,COMPACT,2.5,4,AS6,X,10.2,7.5,9.0,31,207
169,2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,26,253
291,2014,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,9.5,12.0,24,276
181,2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
53,2014,AUDI,RS5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
914,2014,RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,14.6,10.1,12.6,22,290
962,2014,SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4,AV,X,9.5,7.2,8.5,33,196
346,2014,FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,E,24.9,19.6,22.5,13,360
822,2014,MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4,AV6,X,9.6,7.3,8.6,33,198
151,2014,BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,26,246
806,2014,MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,A6,Z,9.3,7.0,8.3,34,191
487,2014,HONDA,ACCORD HYBRID,MID-SIZE,2.0,4,AV,X,4.7,4.9,4.8,59,110
230,2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244
818,2014,MITSUBISHI,LANCER AWD,COMPACT,2.4,4,AV6,X,10.5,8.2,9.5,30,218
857,2014,NISSAN,SENTRA,MID-SIZE,1.8,4,AV,X,7.8,6.0,7.0,40,161
777,2014,MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,TWO-SEATER,6.2,8,AS7,Z,18.7,13.9,16.5,17,380
833,2014,NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264
778,2014,MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8,AS7,Z,18.2,12.6,15.7,18,361
954,2014,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.5,4,M6,Z,14.2,10.4,12.5,23,288
514,2014,HYUNDAI,SONATA,FULL-SIZE,2.4,4,A6,X,9.8,7.0,8.5,33,196
188,2014,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
388,2014,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,E,22.4,17.0,20.0,14,320
993,2014,TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,X,19.0,13.9,16.7,17,384
869,2014,PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,AM7,Z,12.0,8.7,10.5,27,242
614,2014,KIA,OPTIMA,MID-SIZE,2.4,4,A6,X,10.2,6.8,8.7,32,200
185,2014,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262
557,2014,JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8,AS8,E,20.6,13.6,17.5,16,280
43,2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3.0,6,AS8,D,12.9,8.4,10.9,26,294
475,2014,GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
800,2014,MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,A6,Z,10.0,7.8,9.0,31,207
667,2014,LEXUS,IS 350 C,SUBCOMPACT,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
142,2014,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
1032,2014,VOLKSWAGEN,GOLF WAGON TDI CLEAN DIESEL,STATION WAGON - SMALL,2.0,4,A6,D,8.2,6.0,7.2,39,194
628,2014,KIA,SOUL ECO Dynamics,STATION WAGON - SMALL,2.0,4,A6,X,9.7,7.8,8.8,32,202
877,2014,PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,AM7,Z,12.1,8.7,10.6,27,244
352,2014,FORD,EDGE,SUV - SMALL,2.0,4,A6,X,11.3,7.9,9.8,29,225
317,2014,DODGE,DART FFV,MID-SIZE,2.0,4,A6,X,9.9,7.0,8.6,33,198
322,2014,DODGE,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,8.5,5.8,7.3,39,168
448,2014,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432
866,2014,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M7,Z,12.5,8.6,10.7,26,246
554,2014,JAGUAR,XFR-S,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.3,21,306
528,2014,INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172
650,2014,LAND ROVER,RANGE ROVER V6 3.0 SC FFV,SUV - STANDARD,3.0,6,AS8,Z,14.1,10.1,12.3,23,283
329,2014,DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,9.9,12.4,23,285
0,2014,ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196
150,2014,BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,29,225
930,2014,SCION,FR-S,MINICOMPACT,2.0,4,M6,Z,10.9,7.8,9.5,30,218
67,2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237
797,2014,MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196
632,2014,KIA,SPORTAGE AWD,SUV - SMALL,2.4,4,A6,X,12.0,9.1,10.7,26,246
760,2014,MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4,AS7,D,9.6,7.1,8.5,33,230
787,2014,MINI,COOPER COUPE,TWO-SEATER,1.6,4,M6,Z,8.0,6.4,7.3,39,168
703,2014,MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,7.9,5.7,6.9,41,159
327,2014,DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,19.2,13.1,16.5,17,264
701,2014,MAZDA,MAZDA2,COMPACT,1.5,4,A4,X,8.4,6.9,7.7,37,177
1038,2014,VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,A6,Z,10.2,7.5,9.0,31,207
921,2014,RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,E,18.6,12.7,15.9,18,254
587,2014,JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6,A8,E,17.7,13.0,15.6,18,250
694,2014,MAZDA,CX-5,SUV - SMALL,2.0,4,AS6,X,8.9,7.3,8.2,34,189
609,2014,KIA,FORTE KOUP,COMPACT,1.6,4,A6,X,10.6,7.9,9.4,30,216
